lenght1,angle1,lenght2,angle2,lenght3,angle3,result,radius1,radius2
25.0,0,44.457,90,44.457,135,0,31336621.82,6448632.388
25.0,0,44.457,90,79.057,-135,1,31336621.82,3971465417.471
25.0,0,44.457,90,79.057,-90,1,31336621.82,4986235218.941
25.0,0,44.457,90,79.057,-45,1,31336621.82,2235072201.417
25.0,0,44.457,90,79.057,0,1,31336621.82,121867787.354
25.0,0,44.457,90,79.057,45,1,31336621.82,122871877.491
25.0,0,44.457,90,79.057,90,1,31336621.82,62778223.826
25.0,0,44.457,90,79.057,135,0,31336621.82,10473807.815
25.0,0,44.457,90,140.585,-135,1,31336621.82,7203954987.179
25.0,0,44.457,90,140.585,-90,0,31336621.82,8693548721.747
25.0,0,44.457,90,140.585,-45,0,31336621.82,3611277698.064
25.0,0,44.457,90,140.585,0,1,31336621.82,121867787.354
25.0,0,44.457,90,140.585,45,1,31336621.82,302918161.148
25.0,0,44.457,90,140.585,90,1,31336621.82,129018462.113
25.0,0,44.457,90,140.585,135,0,31336621.82,20031169.775
25.0,0,44.457,90,250.0,-135,1,31336621.82,15312462611.725
25.0,0,44.457,90,250.0,-90,0,31336621.82,17815519643.603
25.0,0,44.457,90,250.0,-45,0,31336621.82,6870248660.238
25.0,0,44.457,90,250.0,0,0,31336621.82,121867787.354
25.0,0,44.457,90,250.0,45,1,31336621.82,820421150.699
25.0,0,44.457,90,250.0,90,1,31336621.82,305121056.036
25.0,0,44.457,90,250.0,135,0,31336621.82,44615064.025
25.0,0,79.057,90,25.0,-135,1,70368464.186,10933482685.219
25.0,0,79.057,90,25.0,-90,0,70368464.186,19416734756.682
25.0,0,79.057,90,25.0,-45,0,70368464.186,11000303557.983
25.0,0,79.057,90,25.0,0,1,70368464.186,689256599.361
25.0,0,79.057,90,25.0,45,1,70368464.186,1279519712.938
25.0,0,79.057,90,25.0,90,1,70368464.186,1581362013.623
25.0,0,79.057,90,25.0,135,0,70368464.186,22583043.915
25.0,0,79.057,90,44.457,-135,1,70368464.186,13257402925.795
25.0,0,79.057,90,44.457,-90,1,70368464.186,23235242888.325
25.0,0,79.057,90,44.457,-45,1,70368464.186,12837588749.673
25.0,0,79.057,90,44.457,0,1,70368464.186,689256599.361
25.0,0,79.057,90,44.457,45,1,70368464.186,1718064815.745
25.0,0,79.057,90,44.457,90,1,70368464.186,1997200792.807
25.0,0,79.057,90,44.457,135,0,70368464.186,28188048.084
25.0,0,79.057,90,79.057,-135,1,70368464.186,17942751951.172
25.0,0,79.057,90,79.057,-90,1,70368464.186,30871809784.546
25.0,0,79.057,90,79.057,-45,1,70368464.186,16455127373.376
25.0,0,79.057,90,79.057,0,1,70368464.186,689256599.361
25.0,0,79.057,90,79.057,45,1,70368464.186,2657268763.837
25.0,0,79.057,90,79.057,90,1,70368464.186,2856452332.206
25.0,0,79.057,90,79.057,135,0,70368464.186,39688687.439
25.0,0,79.057,90,140.585,-135,1,70368464.186,28022530924.597
25.0,0,79.057,90,140.585,-90,1,70368464.186,47127508188.488
25.0,0,79.057,90,140.585,-45,1,70368464.186,23995901778.088
25.0,0,79.057,90,140.585,0,1,70368464.186,689256599.361
25.0,0,79.057,90,140.585,45,1,70368464.186,4831318997.477
25.0,0,79.057,90,140.585,90,1,70368464.186,4763182851.061
25.0,0,79.057,90,140.585,135,0,70368464.186,64988765.022
25.0,0,79.057,90,250.0,-135,1,70368464.186,51475038222.786
25.0,0,79.057,90,250.0,-90,1,70368464.186,84496846193.806
25.0,0,79.057,90,250.0,-45,1,70368464.186,40908937809.069
25.0,0,79.057,90,250.0,0,1,70368464.186,689256599.361
25.0,0,79.057,90,250.0,45,1,70368464.186,10290902768.833
25.0,0,79.057,90,250.0,90,1,70368464.186,9351650887.817
25.0,0,79.057,90,250.0,135,1,70368464.186,125313496.362
25.0,0,140.585,90,25.0,-135,1,178253516.03,87550274744.83
25.0,0,140.585,90,25.0,-90,0,178253516.03,198075084453.198
25.0,0,140.585,90,25.0,-45,0,178253516.03,119997739660.09
25.0,0,140.585,90,25.0,0,1,178253516.03,3889285248.243
25.0,0,140.585,90,25.0,45,1,178253516.03,34748551483.084
25.0,0,140.585,90,25.0,90,1,178253516.03,48639826609.0
25.0,0,140.585,90,25.0,135,0,178253516.03,4886140100.44
25.0,0,140.585,90,44.457,-135,1,178253516.03,98692425079.892
25.0,0,140.585,90,44.457,-90,1,178253516.03,222104204537.531
25.0,0,140.585,90,44.457,-45,1,178253516.03,133111405481.499
25.0,0,140.585,90,44.457,0,1,178253516.03,3889285248.243
25.0,0,140.585,90,44.457,45,1,178253516.03,40478053626.834
25.0,0,140.585,90,44.457,90,1,178253516.03,55628986071.152
25.0,0,140.585,90,44.457,135,0,178253516.03,5556808159.47
25.0,0,140.585,90,79.057,-135,1,178253516.03,120154431939.195
25.0,0,140.585,90,79.057,-90,1,178253516.03,268232086068.334
25.0,0,140.585,90,79.057,-45,1,178253516.03,158110673038.947
25.0,0,140.585,90,79.057,0,1,178253516.03,3889285248.243
25.0,0,140.585,90,79.057,45,1,178253516.03,51746257089.687
25.0,0,140.585,90,79.057,90,1,178253516.03,69216262415.42
25.0,0,140.585,90,79.057,135,0,178253516.03,6855953122.357
25.0,0,140.585,90,140.585,-135,1,178253516.03,163531400046.285
25.0,0,140.585,90,140.585,-90,1,178253516.03,361003021246.655
25.0,0,140.585,90,140.585,-45,1,178253516.03,207876978551.182
25.0,0,140.585,90,140.585,0,1,178253516.03,3889285248.243
25.0,0,140.585,90,140.585,45,1,178253516.03,75197890575.135
25.0,0,140.585,90,140.585,90,1,178253516.03,97041796167.502
25.0,0,140.585,90,140.585,135,1,178253516.03,9502985700.326
