lenght1,angle1,lenght2,angle2,result,radius1
1.847,0,6.3,150,0,8.046
1.847,0,6.3,160,0,34.856
1.847,0,6.3,170,0,103.716
1.847,0,11.635,0,1,0.0
1.847,0,11.635,10,0,22.181
1.847,0,11.635,20,0,62.249
1.847,0,11.635,30,0,110.899
1.847,0,11.635,40,0,149.816
1.847,0,11.635,50,0,166.62
1.847,0,11.635,60,0,158.267
1.847,0,11.635,70,0,130.092
1.847,0,11.635,80,0,92.117
1.847,0,11.635,90,0,54.807
1.847,0,11.635,100,0,25.805
1.847,0,11.635,110,0,8.329
1.847,0,11.635,120,0,1.198
1.847,0,11.635,130,0,0.037
1.847,0,11.635,140,0,1.329
1.847,0,11.635,150,0,10.413
1.847,0,11.635,160,0,58.358
1.847,0,11.635,170,0,75.803
1.847,0,21.488,0,0,0.0
1.847,0,21.488,10,0,58.621
1.847,0,21.488,20,0,192.695
1.847,0,21.488,30,0,355.436
1.847,0,21.488,40,0,487.294
1.847,0,21.488,50,0,547.554
1.847,0,21.488,60,0,525.659
1.847,0,21.488,70,0,438.078
1.847,0,21.488,80,0,316.493
1.847,0,21.488,90,0,194.35
1.847,0,21.488,100,0,96.612
1.847,0,21.488,110,0,34.703
1.847,0,21.488,120,0,6.525
1.847,0,21.488,130,0,0.126
1.847,0,21.488,140,0,1.177
1.847,0,21.488,150,0,16.39
1.847,0,21.488,160,0,117.948
1.847,0,21.488,170,0,86.804
1.847,0,39.685,0,0,0.0
1.847,0,39.685,10,0,181.629
1.847,0,39.685,20,0,633.443
1.847,0,39.685,30,0,1182.799
1.847,0,39.685,40,0,1630.718
1.847,0,39.685,50,0,1840.851
1.847,0,39.685,60,0,1776.973
1.847,0,39.685,70,0,1492.349
1.847,0,39.685,80,0,1090.719
1.847,0,39.685,90,0,682.227
1.847,0,39.685,100,0,349.998
1.847,0,39.685,110,0,133.657
1.847,0,39.685,120,0,29.259
1.847,0,39.685,130,0,1.102
1.847,0,39.685,140,0,1.234
1.847,0,39.685,150,0,32.051
1.847,0,39.685,160,0,283.272
1.847,0,39.685,170,0,140.353
1.847,0,73.293,0,0,0.0
1.847,0,73.293,10,0,599.071
1.847,0,73.293,20,0,2130.249
1.847,0,73.293,30,0,3993.927
1.847,0,73.293,40,0,5518.271
1.847,0,73.293,50,0,6242.662
1.847,0,73.293,60,0,6043.271
1.847,0,73.293,70,0,5096.725
1.847,0,73.293,80,0,3749.225
1.847,0,73.293,90,0,2369.427
1.847,0,73.293,100,0,1237.177
1.847,0,73.293,110,0,488.683
1.847,0,73.293,120,0,116.057
1.847,0,73.293,130,0,6.308
1.847,0,73.293,140,0,1.649
1.847,0,73.293,150,0,75.955
1.847,0,73.293,160,0,777.258
1.847,0,73.293,170,0,296.711
1.847,0,135.364,0,0,0.0
1.847,0,135.364,10,0,2019.519
1.847,0,135.364,20,0,7224.624
1.847,0,135.364,30,0,13563.479
1.847,0,135.364,40,0,18756.547
1.847,0,135.364,50,0,21240.701
1.847,0,135.364,60,0,20593.211
1.847,0,135.364,70,0,17407.555
1.847,0,135.364,80,0,12850.852
1.847,0,135.364,90,0,8167.832
1.847,0,135.364,100,0,4306.284
1.847,0,135.364,110,0,1732.591
1.847,0,135.364,120,0,429.775
1.847,0,135.364,130,0,28.072
1.847,0,135.364,140,0,2.872
1.847,0,135.364,150,0,207.555
1.847,0,135.364,160,0,2333.238
1.847,0,135.364,170,0,758.091
1.847,0,250.0,0,0,0.0
1.847,0,250.0,10,0,6858.568
1.847,0,250.0,20,0,24580.837
1.847,0,250.0,30,0,46169.396
1.847,0,250.0,40,0,63870.65
1.847,0,250.0,50,0,72367.555
1.847,0,250.0,60,0,70217.711
1.847,0,250.0,70,0,59429.176
1.847,0,250.0,80,0,43957.856
1.847,0,250.0,90,0,28026.112
1.847,0,250.0,100,0,14854.382
1.847,0,250.0,110,0,6036.579
1.847,0,250.0,120,0,1532.776
1.847,0,250.0,130,0,110.046
1.847,0,250.0,140,0,6.316
1.847,0,250.0,150,0,622.504
1.847,0,250.0,160,0,7402.396
1.847,0,250.0,170,0,2187.792
3.411,0,1.0,0,1,0.0
3.411,0,1.0,10,0,43.741
3.411,0,1.0,20,0,116.266
3.411,0,1.0,30,0,234.837
3.411,0,1.0,40,0,396.4
3.411,0,1.0,50,0,609.772
3.411,0,1.0,60,0,928.602
3.411,0,1.0,70,0,1670.884
3.411,0,1.0,80,0,62563.847
3.411,0,1.0,90,0,1016.471
3.411,0,1.0,100,0,309.482
3.411,0,1.0,110,0,102.953
3.411,0,1.0,120,0,27.835
3.411,0,1.0,130,0,4.198
3.411,0,1.0,140,0,0.165
3.411,0,1.0,150,0,1.428
3.411,0,1.0,160,0,12.12
3.411,0,1.0,170,0,65.099
3.411,0,1.847,0,1,0.0
3.411,0,1.847,10,1,53.249
3.411,0,1.847,20,0,156.586
3.411,0,1.847,30,0,323.467
3.411,0,1.847,40,0,548.553
3.411,0,1.847,50,0,839.811
3.411,0,1.847,60,0,1255.587
3.411,0,1.847,70,0,2116.924
3.411,0,1.847,80,0,10749.227
3.411,0,1.847,90,0,1863.576
3.411,0,1.847,100,0,522.989
3.411,0,1.847,110,0,174.163
3.411,0,1.847,120,0,49.223
3.411,0,1.847,130,0,8.409
3.411,0,1.847,140,0,0.322
3.411,0,1.847,150,0,0.944
3.411,0,1.847,160,0,11.511
3.411,0,1.847,170,0,70.945
3.411,0,3.411,0,1,0.0
3.411,0,3.411,10,1,76.394
3.411,0,3.411,20,0,250.335
3.411,0,3.411,30,0,528.565
3.411,0,3.411,40,0,899.98
3.411,0,3.411,50,0,1370.475
3.411,0,3.411,60,0,2011.029
3.411,0,3.411,70,0,3193.239
3.411,0,3.411,80,0,9302.582
3.411,0,3.411,90,0,4548.137
3.411,0,3.411,100,0,1098.755
3.411,0,3.411,110,0,363.331
3.411,0,3.411,120,0,107.768
3.411,0,3.411,130,0,21.24
3.411,0,3.411,140,0,1.2
3.411,0,3.411,150,0,0.424
3.411,0,3.411,160,0,10.668
3.411,0,3.411,170,0,82.515
3.411,0,6.3,0,1,0.0
3.411,0,6.3,10,1,136.527
3.411,0,6.3,20,1,488.353
3.411,0,6.3,30,0,1047.741
3.411,0,6.3,40,0,1787.973
3.411,0,6.3,50,0,2708.575
3.411,0,6.3,60,0,3911.758
3.411,0,6.3,70,0,5928.688
3.411,0,6.3,80,0,13176.293
3.411,0,6.3,90,0,15272.04
3.411,0,6.3,100,0,2834.798
3.411,0,6.3,110,0,919.391
3.411,0,6.3,120,0,284.322
3.411,0,6.3,130,0,63.825
3.411,0,6.3,140,0,5.657
3.411,0,6.3,150,0,0.087
3.411,0,6.3,160,0,9.709
3.411,0,6.3,170,0,106.594
3.411,0,11.635,0,1,0.0
3.411,0,11.635,10,0,304.442
3.411,0,11.635,20,0,1147.568
3.411,0,11.635,30,0,2483.431
3.411,0,11.635,40,0,4239.93
3.411,0,11.635,50,0,6395.075
3.411,0,11.635,60,0,9128.649
3.411,0,11.635,70,0,13405.428
3.411,0,11.635,80,0,25841.491
3.411,0,11.635,90,0,71547.63
3.411,0,11.635,100,0,8500.846
3.411,0,11.635,110,0,2676.768
3.411,0,11.635,120,0,852.073
3.411,0,11.635,130,0,210.816
3.411,0,11.635,140,0,25.818
3.411,0,11.635,150,0,0.093
3.411,0,11.635,160,0,8.94
3.411,0,11.635,170,0,160.596
3.411,0,21.488,0,1,0.0
3.411,0,21.488,10,0,806.121
3.411,0,21.488,20,0,3112.725
3.411,0,21.488,30,0,6759.899
3.411,0,21.488,40,0,11535.658
3.411,0,21.488,50,0,17343.827
3.411,0,21.488,60,0,24568.785
3.411,0,21.488,70,0,35382.087
3.411,0,21.488,80,0,63204.818
3.411,0,21.488,90,0,517626.618
3.411,0,21.488,100,0,27740.88
3.411,0,21.488,110,0,8462.777
3.411,0,21.488,120,0,2739.82
3.411,0,21.488,130,0,722.18
3.411,0,21.488,140,0,107.744
3.411,0,21.488,150,0,1.587
3.411,0,21.488,160,0,8.857
3.411,0,21.488,170,0,294.323
3.411,0,39.685,0,0,0.0
3.411,0,39.685,10,0,2384.257
3.411,0,39.685,20,0,9290.974
3.411,0,39.685,30,0,20198.802
3.411,0,39.685,40,0,34446.314
3.411,0,39.685,50,0,51681.899
3.411,0,39.685,60,0,72872.019
3.411,0,39.685,70,0,103756.461
3.411,0,39.685,80,0,177905.558
3.411,0,39.685,90,0,129105452.779
3.411,0,39.685,100,0,93843.071
3.411,0,39.685,110,0,27879.736
3.411,0,39.685,120,0,9107.328
3.411,0,39.685,130,0,2493.247
3.411,0,39.685,140,0,416.496
3.411,0,39.685,150,0,12.288
3.411,0,39.685,160,0,10.238
3.411,0,39.685,170,0,663.264
3.411,0,73.293,0,0,0.0
3.411,0,73.293,10,0,7520.454
3.411,0,73.293,20,0,29394.954
3.411,0,73.293,30,0,63918.026
3.411,0,73.293,40,0,108946.341
3.411,0,73.293,50,0,163251.942
3.411,0,73.293,60,0,229569.653
3.411,0,73.293,70,0,324771.124
3.411,0,73.293,80,0,544695.857
3.411,0,73.293,90,0,8853401.445
3.411,0,73.293,100,0,320962.491
3.411,0,73.293,110,0,93589.725
3.411,0,73.293,120,0,30713.001
3.411,0,73.293,130,0,8591.872
3.411,0,73.293,140,0,1528.528
3.411,0,73.293,150,0,62.707
3.411,0,73.293,160,0,14.769
3.411,0,73.293,170,0,1780.054
3.411,0,135.364,0,0,0.0
3.411,0,135.364,10,0,24583.787
3.411,0,135.364,20,0,96178.423
3.411,0,135.364,30,0,209128.518
3.411,0,135.364,40,0,356330.333
3.411,0,135.364,50,0,533556.889
3.411,0,135.364,60,0,749172.007
3.411,0,135.364,70,0,1056083.277
3.411,0,135.364,80,0,1750207.429
3.411,0,135.364,90,0,18448542.452
3.411,0,135.364,100,0,1099419.254
3.411,0,135.364,110,0,316821.1
3.411,0,135.364,120,0,104214.603
3.411,0,135.364,130,0,29506.867
3.411,0,135.364,140,0,5434.104
3.411,0,135.364,150,0,263.221
3.411,0,135.364,160,0,27.158
3.411,0,135.364,170,0,5373.998
3.411,0,250.0,0,0,0.0
3.411,0,250.0,10,0,81942.129
3.411,0,250.0,20,0,320661.52
3.411,0,250.0,30,0,697194.241
3.411,0,250.0,40,0,1187691.311
3.411,0,250.0,50,0,1777678.065
3.411,0,250.0,60,0,2493973.024
3.411,0,250.0,70,0,3508816.517
3.411,0,250.0,80,0,5777607.01
3.411,0,250.0,90,0,51257730.21
3.411,0,250.0,100,0,3762114.866
3.411,0,250.0,110,0,1076605.542
3.411,0,250.0,120,0,354569.605
3.411,0,250.0,130,0,101057.735
3.411,0,250.0,140,0,18965.702
3.411,0,250.0,150,0,1001.76
3.411,0,250.0,160,0,61.818
3.411,0,250.0,170,0,17313.686
6.3,0,1.0,0,1,0.0
6.3,0,1.0,10,0,279.433
6.3,0,1.0,20,0,1033.624
6.3,0,1.0,30,0,2162.443
6.3,0,1.0,40,0,3496.257
6.3,0,1.0,50,0,4839.332
6.3,0,1.0,60,0,6002.653
6.3,0,1.0,70,0,6835.603
6.3,0,1.0,80,0,7251.8
6.3,0,1.0,90,0,7247.059
6.3,0,1.0,100,0,6914.733
6.3,0,1.0,110,0,6494.045
6.3,0,1.0,120,0,6754.496
6.3,0,1.0,130,0,49299.401
6.3,0,1.0,140,0,892.923
6.3,0,1.0,150,0,43.996
6.3,0,1.0,160,0,0.212
6.3,0,1.0,170,0,53.493
6.3,0,1.847,0,1,0.0
6.3,0,1.847,10,0,345.293
6.3,0,1.847,20,0,1287.167
6.3,0,1.847,30,0,2697.03
6.3,0,1.847,40,0,4363.293
6.3,0,1.847,50,0,6041.71
6.3,0,1.847,60,0,7496.296
6.3,0,1.847,70,0,8538.771
6.3,0,1.847,80,0,9060.658
6.3,0,1.847,90,0,9055.387
6.3,0,1.847,100,0,8636.334
6.3,0,1.847,110,0,8091.538
6.3,0,1.847,120,0,8309.2
6.3,0,1.847,130,0,36485.638
6.3,0,1.847,140,0,1261.725
6.3,0,1.847,150,0,67.131
6.3,0,1.847,160,0,0.092
6.3,0,1.847,170,0,52.558
6.3,0,3.411,0,1,0.0
6.3,0,3.411,10,1,486.139
6.3,0,3.411,20,1,1829.295
6.3,0,3.411,30,0,3840.125
6.3,0,3.411,40,0,6217.373
6.3,0,3.411,50,0,8613.128
6.3,0,3.411,60,0,10690.991
6.3,0,3.411,70,0,12182.11
6.3,0,3.411,80,0,12930.646
6.3,0,3.411,90,0,12924.662
6.3,0,3.411,100,0,12319.778
6.3,0,3.411,110,0,11507.054
6.3,0,3.411,120,0,11626.483
6.3,0,3.411,130,0,34220.809
6.3,0,3.411,140,0,2146.144
6.3,0,3.411,150,0,125.259
6.3,0,3.411,160,0,0.075
6.3,0,3.411,170,0,51.163
6.3,0,6.3,0,1,0.0
6.3,0,6.3,10,1,811.898
6.3,0,6.3,20,1,3083.004
6.3,0,6.3,30,1,6483.736
6.3,0,6.3,40,0,10505.635
6.3,0,6.3,50,0,14561.203
6.3,0,6.3,60,0,18081.895
6.3,0,6.3,70,0,20612.422
6.3,0,6.3,80,0,21887.049
6.3,0,6.3,90,0,21880.622
6.3,0,6.3,100,0,20844.757
6.3,0,6.3,110,0,19404.416
6.3,0,6.3,120,0,19269.297
6.3,0,6.3,130,0,42314.687
6.3,0,6.3,140,0,4521.999
6.3,0,6.3,150,0,288.466
6.3,0,6.3,160,0,0.717
6.3,0,6.3,170,0,49.433
6.3,0,11.635,0,1,0.0
6.3,0,11.635,10,1,1637.073
6.3,0,11.635,20,1,6258.597
6.3,0,11.635,30,1,13180.283
6.3,0,11.635,40,1,21369.282
6.3,0,11.635,50,0,29631.641
6.3,0,11.635,60,0,36810.967
6.3,0,11.635,70,0,41979.442
6.3,0,11.635,80,0,44591.932
6.3,0,11.635,90,0,44587.602
6.3,0,11.635,100,0,42456.497
6.3,0,11.635,110,0,39403.493
6.3,0,11.635,120,0,38533.266
6.3,0,11.635,130,0,69500.74
